,station_code,capacity,station_name,latitude,longitude
273,9037,24.0,Parme - Clichy,48.881266424227,2.3281970934506
274,9038,27.0,Douai - Bruxelles,48.88320784122797,2.3308449949028507
275,9039,28.0,Chaussée d'Antin - Haussmann,48.87243,2.33359
276,9101,19.0,Cadet - La Fayette,48.875601632672,2.3435704037547
277,9102,25.0,Londres - Place d'Estienne d'Orves,48.876693805756986,2.3305362090468407
278,9104,44.0,Caumartin - Provence,48.87442277342655,2.3284685611724854
279,9106,28.0,Boudreau - Auber,48.87219,2.329423
280,9111,20.0,Victoire - Laffitte,48.87514373494672,2.338118505144376
281,9113,30.0,Bleue - Trévise,48.87578906564573,2.347289621829987
282,9114,30.0,Faubourg Poissonnière - Dunkerque,48.88088344540444,2.349934279918671
283,9115,21.0,Milton - Manuel,48.878249,2.341181
284,9116,24.0,Victoire - Chaussée d'Antin,48.8750657910044,2.3316738009452824
285,9117,30.0,Bellefond - Maubeuge,48.878255397645,2.3452642187476
286,9118,36.0,Faubourg Poissonniere - Delta,48.882555807626765,2.3497482016682625
287,10003,17.0,Hauteville - Bonne Nouvelle,48.87077436024,2.3496496368327
288,10004,48.0,Metz - Faubourg Saint-Denis,48.870893,2.353521
289,10005,17.0,Petites Ecuries - Faubourg Poissonnière,48.87397217237368,2.348388757504776
290,10006,28.0,Petites Ecuries - Faubourg Saint-Denis,48.87287120589831,2.35421508550644
291,10008,18.0,Cité Riverin - Château d'Eau,48.87070242355431,2.358739863900845
292,10009,19.0,Mairie du 10ème,48.872089449907,2.3575825989246
293,10010,33.0,Place Jacques Bonsergent,48.870948218595,2.3612049221992
294,10011,17.0,Bourse du Travail,48.868976638826,2.3623438552022
295,10012,25.0,Vinaigriers - Magenta,48.8731167,2.3593052
296,10013,60.0,Alibert - Jemmapes,48.871044051984,2.3661044619878
297,10014,55.0,Marseille - Beaurepaire,48.871624306962985,2.3639265082738348
298,10015,45.0,Lucien Sampaix - Récollets,48.87433037756048,2.3621229082345963
299,10016,17.0,Récollets - Square Villemin,48.87503465588394,2.359801238597928
300,10017,15.0,Gare de l'Est - Fidélité,48.874575,2.356796
